cod_cidade,cidade,uf,loggi,dits_caj,populucao,area,malha_aerea
3509007,Caieiras (SP),SP,0,40.001,98243,95.894,0
2501807,Bayeux (PB),PB,0,2769.00089,96994,31.784,0
1302504,Manacapuru (AM),AM,0,4000590,96436,7329.234,0
3528502,Mairiporã (SP),SP,0,59.943,95644,321.48,0
4107652,Fazenda Rio Grande (PR),PR,0,439.069,95260,116.676,0
2607208,Ipojuca (PE),PE,0,2626.000312,94593,527.317,0
3147105,Pará de Minas (MG),MG,0,572.963,92753,550.991,0
3133808,Itaúna (MG),MG,0,550.466,92700,495.875,0
3508504,Caçapava (SP),SP,0,113.949,92586,369.907,0
4126256,Sarandi (PR),PR,0,643.439,92302,103.226,0
3144805,Nova Lima (MG),MG,0,605.286,92219,428.449,0
3113404,Caratinga (MG),MG,0,796,91872,1250.874,0
2906501,Candeias (BA),BA,0,1939.000225,89694,264.487,0
2806701,São Cristóvão (SE),SE,0,2154.000087,89241,437.437,0
3168705,Timóteo (MG),MG,0,845.535,88941,145.159,0
5217609,Planaltina (GO),GO,0,1073.000662,88838,2539.113,0
3550605,São Roque (SP),SP,0,71.327,88485,307.553,0
3555406,Ubatuba (SP),SP,0,225.029,88324,712.116,0
3527207,Lorena (SP),SP,0,200.117,87969,413.776,0
3503901,Arujá (SP),SP,0,43.045,86456,97.448,0
3550704,São Sebastião (SP),SP,0,193,85565,403.336,0
3305554,Seropédica (RJ),RJ,0,380.213,84427,283.794,0
4307708,Esteio (RS),RS,0,1139.000461,84226,27.543,0
3170404,Unaí (MG),MG,0,962.333,83982,8463.579,0
2309706,Pacatuba (CE),CE,0,2920.00068,82875,132.427,0
4215802,São Bento do Sul (SC),SC,0,516.892,82831,495.578,0
3509601,Campo Limpo Paulista (SP),SP,0,60.094,82526,80.048,0
3513405,Cruzeiro (SP),SP,0,227.032,81710,304.572,0
2910057,'Dias d''Ávila (BA)',BA,0,,80727,207.504,0
2407104,Macaíba (RN),RN,0,2943509,80386,512.487,0
4319901,Sapiranga (RS),RS,0,1129.000667,80317,137.519,0
2606200,Goiana (PE),PE,0,2715.000978,79242,501.17,0
2301000,Aquiraz (CE),CE,0,2917.000331,79147,480.976,0
4203204,Camboriú (SC),SC,0,616.167,78783,214.5,0
3519709,Ibiúna (SP),SP,0,74.867,77562,1059.689,0
4211306,Navegantes (SC),SC,0,601.819,77193,111.461,1
3205101,Viana (ES),ES,0,941.144,76790,311.608,0
3524303,Jaboticabal (SP),SP,0,345.807,76554,706.499,0
2707701,Rio Largo (AL),AL,0,2425.00053,75691,309.425,0
3556701,Vinhedo (SP),SP,0,79.031,75164,81.742,0
3509205,Cajamar (SP),SP,0,46.694,73942,128.356,0
2402600,Ceará-Mirim (RN),RN,0,2972.000503,73835,739.686,0
2907202,Casa Nova (BA),BA,0,2240.000638,73393,9657.505,0
5219753,Santo Antônio do Descoberto (GO),GO,0,1041.000736,71885,938.309,0
2303501,Cascavel (CE),CE,0,2885.000378,71088,837.967,0
2309607,Pacajus (CE),CE,0,2875.000246,70954,254.435,0
4307906,Farroupilha (RS),RS,0,1000.000233,69559,361.788,0
3512803,Cosmópolis (SP),SP,0,141.033,69115,154.73,0
3124104,Esmeraldas (MG),MG,0,587.064,69045,909.592,0
3530508,Mococa (SP),SP,0,267.763,68979,854.074,0
1506500,Santa Izabel do Pará (PA),PA,0,2838.000529,68851,717.615,0
3515103,Embu-Guaçu (SP),SP,0,58.475,68266,155.036,0
2503209,Cabedelo (PB),PB,0,2783.000556,68081,31.265,0
5208608,Goianésia (GO),GO,0,1076.0006,67505,1547.65,0
